ResponseId,StartDate,EndDate,Progress,Durationinseconds,Finished,Captcha,SharingType,SocialMedia,nicks,headlineA1,headlineS1,headlineC1,t_PageSubmit1,headlineA2,headlineS2,headlineC2,t_PageSubmit2,headlineA3,headlineS3,headlineC3,t_PageSubmit3,headlineA4,headlineS4,headlineC4,t_PageSubmit4,headlineA5,headlineS5,headlineC5,t_PageSubmit5,headlineA6,headlineS6,headlineC6,t_PageSubmit6,headlineA7,headlineS7,headlineC7,t_PageSubmit7,headlineA8,headlineS8,headlineC8,t_PageSubmit8,headlineA9,headlineS9,headlineC9,t_PageSubmit9,headlineA10,headlineS10,headlineC10,t_PageSubmit10,headlineA11,headlineS11,headlineC11,t_PageSubmit11,headlineA12,headlineS12,headlineC12,t_PageSubmit12,headlineA13,headlineS13,headlineC13,t_PageSubmit13,headlineA14,headlineS14,headlineC14,t_PageSubmit14,headlineA15,headlineS15,headlineC15,t_PageSubmit15,headlineA16,headlineS16,headlineC16,t_PageSubmit16,headlineA17,headlineS17,headlineC17,t_PageSubmit17,headlineA18,headlineS18,headlineC18,t_PageSubmit18,headlineA19,headlineS19,headlineC19,t_PageSubmit19,headlineA20,headlineS20,headlineC20,t_PageSubmit20,headlineA21,headlineS21,headlineC21,t_PageSubmit21,headlineA22,headlineS22,headlineC22,t_PageSubmit22,headlineA23,headlineS23,headlineC23,t_PageSubmit23,headlineA24,headlineS24,headlineC24,t_PageSubmit24,headlineA25,headlineS25,headlineC25,t_PageSubmit25,headlineA26,headlineS26,headlineC26,t_PageSubmit26,headlineA27,headlineS27,headlineC27,t_PageSubmit27,headlineA28,headlineS28,headlineC28,t_PageSubmit28,headlineA29,headlineS29,headlineC29,t_PageSubmit29,headlineA30,headlineS30,headlineC30,t_PageSubmit30,headlineA31,headlineS31,headlineC31,t_PageSubmit31,headlineA32,headlineS32,headlineC32,t_PageSubmit32,headlineA33,headlineS33,headlineC33,t_PageSubmit33,headlineA34,headlineS34,headlineC34,t_PageSubmit34,headlineA35,headlineS35,headlineC35,t_PageSubmit35,headlineA36,headlineS36,headlineC36,t_PageSubmit36,headlineA37,headlineS37,headlineC37,t_PageSubmit37,headlineA38,headlineS38,headlineC38,t_PageSubmit38,headlineA39,headlineS39,headlineC39,t_PageSubmit39,headlineA40,headlineS40,headlineC40,t_PageSubmit40,domains,screener_2,Party,DemRep_C,Social_Conserv,Economic_Conserv,ap_1,ap_2,screener_3,CRT_1,tCRT_PageSubmit_1,CRT_2,tCRT_PageSubmit_2,CRT_3,tCRT_PageSubmit_3,Age,Gender,Education,Income,Ethnicity,god,trust,risk,Random,Google,Lucid_age,Lucid_gender,Lucid_hhi,Lucid_ethnicity,Lucid_hispanic,Lucid_education,Lucid_political_party,Lucid_region,seq,us
"R_22YsbIhZ0PANAP1","2022-03-15 23:08:40","2022-03-15 23:16:51",100,490,1,"15","2,3","1",5,4,4,2,12.151,2,3,3,8.874,,,,,4,2,5,11.788,3,2,3,8.751,3,4,5,9.417,,,,,,,,,2,3,4,11.841,4,2,2,11.241,,,,,2,4,4,11.637,,,,,,,,,,,,,3,4,4,9.806,4,3,5,7.244,,,,,,,,,,,,,6,3,4,10.379,3,4,4,4.973,,,,,,,,,,,,,4,4,4,12.026,4,2,4,19.186,5,4,5,11.461,4,4,5,12.361,,,,,,,,,,,,,,,,,6,4,4,9.1,,,,,3,4,4,12.189,,,,,3,3,3,3.547,2,2,5,17.251,,,,,"4","3,5",3,4,3,3,76,70,"3",8,9.681,50,11.208,20,18.3,41,2,1,2,"1",6,3,5,2,2,41,2,1,1,1,3,2,2,2,
"R_23gJKMkSIUy1a8w","2022-03-15 23:08:15","2022-03-15 23:17:01",100,525,1,"15","3","1,3,4,5",5,,,,,1,1,1,9.27,,,,,1,1,1,16.327,,,,,1,1,1,11.846,1,1,1,8.212,,,,,,,,,,,,,,,,,,,,,1,1,1,8.817,1,1,1,24.019,,,,,1,1,1,9.854,1,1,1,13.3,4,1,1,9.936,,,,,1,1,1,11.523,5,1,1,18.869,1,1,1,14.947,1,1,1,15.144,5,1,1,30.21,5,1,1,17.035,7,1,1,27.32,,,,,,,,,7,1,1,14.325,,,,,,,,,7,1,1,12.793,7,1,7,19.76,,,,,,,,,5,1,1,30.459,,,,,,,,,,,,,,,,,"5","3,5",2,4,3,3,70,0,"4,5",8,6.025,50,17.943,20,9.914,45,2,4,1,"1",8,4,1,2,2,45,2,2,1,1,5,2,1,2,
"R_cuUdj2UpSK9cyD7","2022-03-15 23:07:51","2022-03-15 23:17:39",100,588,1,"15","2,3,4","1,3,4,5,8",5,,,,,,,,,5,5,7,12.992,4,4,4,8.923,,,,,5,2,4,13.788,,,,,,,,,7,7,7,20.61,4,3,3,10.782,,,,,7,5,6,14.073,,,,,5,4,6,9.584,,,,,1,1,1,12.017,6,3,2,29.406,,,,,,,,,4,6,6,5.386,,,,,3,3,2,7.178,,,,,,,,,5,6,4,9.601,6,7,7,11.544,,,,,5,3,2,9.721,5,3,2,16.797,,,,,7,4,3,15.242,,,,,7,3,2,10.417,,,,,7,5,6,14.74,,,,,,,,,4,5,5,24.74,7,7,7,13.353,,,,,"1,4","2",3,4,2,2,75,68,"2",8,20.719,50,13.362,2,26.39,19,2,3,3,"6",8,7,9,2,2,19,2,,15,2,,,3,2,
"R_DH8KWfAEjcmtfDb","2022-03-15 23:11:15","2022-03-15 23:17:39",100,384,1,"15","1,4,5","3,4,5,8",5,7,7,7,7.741,,,,,1,1,1,7.358,,,,,,,,,,,,,1,1,1,8.615,1,1,1,9.167,,,,,,,,,7,7,7,7.627,1,1,1,7.301,,,,,,,,,7,7,7,7.7,,,,,1,1,1,8.161,1,1,1,10.13,,,,,1,1,1,8.684,4,3,7,12.087,1,1,1,10.387,,,,,7,1,1,9.552,,,,,,,,,1,1,1,7.628,,,,,,,,,1,1,1,6.915,7,3,7,9.001,1,1,1,9.13,7,7,7,8.944,7,7,7,9.092,,,,,7,3,7,12.931,,,,,,,,,,,,,,,,,"1,2,3,5,6,7,9,10,12,13,15,17,19,59","3,5",1,1,1,1,0,100,"4,5",8,8.134,50,11.141,20,15.827,28,2,5,5,"6",8,1,1,2,2,28,2,9,15,2,8,,3,2,
"R_3oZu81be7jV2ZsM","2022-03-15 23:12:09","2022-03-15 23:18:05",100,355,1,"15","1,3,4","1,4,5",5,4,4,4,4.801,4,4,4,4.258,4,4,4,4.1,,,,,4,4,4,4.3,,,,,,,,,4,4,4,6.191,,,,,,,,,,,,,,,,,4,4,4,4.9,,,,,4,4,4,4.802,4,4,4,5.902,4,4,4,5.1,,,,,4,4,4,7.65,,,,,4,4,4,4.001,,,,,,,,,4,4,4,7.262,4,4,4,7.749,,,,,4,4,4,5.467,4,4,4,4.3,,,,,4,4,4,12.102,,,,,,,,,,,,,4,4,4,5.4,4,4,4,5.3,4,4,4,4.987,,,,,4,4,4,8.762,,,,,,,,,"17","2",3,4,4,3,45,36,"3",8,10.082,50,18.379,20,29.933,24,2,2,1,"1",2,4,6,2,2,24,2,8,15,14,4,,4,2,
"R_2dhgadq1yC9u6y3","2022-03-15 23:13:04","2022-03-15 23:18:31",100,327,1,"15","1,2,5","1,3,8",5,5,4,5,5.274,1,1,4,9.015,,,,,7,1,4,9.166,1,1,1,6.826,,,,,,,,,,,,,,,,,,,,,1,1,1,4.612,7,7,7,4.869,,,,,,,,,1,1,1,5.104,5,5,4,5.267,1,1,1,13.841,,,,,1,1,1,6.587,,,,,5,5,6,4.98,,,,,,,,,7,3,3,7.341,,,,,5,5,5,5.353,,,,,,,,,7,5,4,7.744,,,,,,,,,,,,,4,3,3,4.779,1,1,1,7.08,,,,,1,1,1,5.226,,,,,1,1,2,4.46,6,4,5,4.214,4,4,4,6.396,"4,33","2",2,5,4,4,81,12,"4,5",4,30.671,50,30.454,20,13.437,30,1,3,11,"1",8,6,8,1,2,30,1,12,1,1,3,2,3,2,
"R_1eODMqOPHx1IZ1J","2022-03-15 23:10:12","2022-03-15 23:18:51",100,518,1,"15","3","1",5,,,,,5,5,7,11.923,,,,,1,1,1,9.599,1,1,1,8.952,,,,,1,1,1,10.827,1,1,1,17.219,,,,,,,,,7,4,7,17.151,,,,,2,1,1,13.618,,,,,7,5,7,13.2,1,1,1,9.097,,,,,,,,,,,,,1,1,1,12.001,,,,,7,4,7,14.677,,,,,,,,,7,6,7,13.199,5,1,7,25.648,,,,,1,3,7,16.791,,,,,1,1,1,10.782,5,4,7,15.38,,,,,,,,,7,6,7,9.174,2,6,7,12.874,,,,,,,,,,,,,1,1,7,13.953,4,4,7,10.791,"3","4",2,4,3,3,65,20,"4,5",8,12.355,50,11.401,20,14.6,57,2,3,3,"1",8,6,1,2,2,57,2,5,1,1,6,2,3,2,
"R_123C9nTV91ylDxh","2022-03-15 23:09:47","2022-03-15 23:19:26",100,578,1,"15","2,3","1,4",5,2,2,1,6.301,,,,,2,2,3,14.072,,,,,2,7,2,11.158,1,7,1,11.84,1,1,1,8.198,,,,,1,1,7,14.885,,,,,,,,,7,7,7,8.547,,,,,7,5,3,8.101,1,1,1,11.644,,,,,,,,,,,,,7,7,7,8.201,,,,,,,,,1,1,7,8.896,2,1,1,10.884,,,,,1,2,1,11.586,1,2,2,11.43,,,,,,,,,1,1,1,6.268,,,,,4,1,7,10.228,,,,,1,1,1,10.997,,,,,,,,,1,1,1,15.066,1,1,1,3.901,,,,,7,7,7,9.434,,,,,"6,12,17,25","6",2,4,3,3,68,16,"4,5",8,22.133,500,21.394,20,21.974,35,2,4,7,"2",8,5,11,2,2,35,2,23,2,1,7,2,3,2,
"R_1g7oKitzWFpHTL2","2022-03-15 23:12:06","2022-03-15 23:20:00",100,474,1,"15","1,5","1",5,1,1,1,8.567,4,7,7,11.633,4,1,4,36.001,,,,,,,,,,,,,,,,,4,1,4,7.225,,,,,2,1,5,9.094,5,4,7,16.028,,,,,,,,,2,1,4,10.817,,,,,,,,,,,,,4,1,1,13.442,3,1,7,11.792,6,7,7,8.181,4,1,4,10.997,3,1,7,9.984,4,1,4,44.92,,,,,,,,,,,,,,,,,,,,,6,2,6,9.902,,,,,5,2,5,10.455,2,1,4,11.853,4,2,7,12.944,,,,,,,,,7,1,7,10.423,,,,,,,,,7,7,7,6.58,5,1,5,9.267,"5,9","3,5",1,3,2,3,1,68,"4,5",8,12.911,50,9.469,20,10.301,28,2,6,4,"1",6,5,3,2,2,28,2,4,1,1,10,1,4,2,
"R_23ZxR6ElKJ6OuHS","2022-03-15 23:10:45","2022-03-15 23:20:08",100,562,1,"15","2","1",5,,,,,3,3,3,9.701,,,,,3,4,5,13.089,,,,,3,3,3,8.525,3,3,5,13.08,3,4,5,12.192,3,3,3,8.499,2,5,5,14.596,,,,,4,4,5,12.474,3,3,3,14.15,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,10.364,,,,,4,6,6,22.246,4,3,4,13.648,4,4,4,15.569,6,5,5,10.773,4,3,4,21.272,,,,,,,,,,,,,3,4,4,14.115,4,3,3,10.926,,,,,,,,,,,,,5,3,3,10.331,6,4,4,21.267,4,3,3,12.88,,,,,,,,,,,,,"4","3,5",2,6,5,4,90,0,"4,5",8,6.901,250,12.56,20,30.388,63,2,4,7,"1",8,5,7,2,2,63,2,14,1,1,7,,2,2,
"R_25WUXG6weKgzMy7","2022-03-15 23:11:18","2022-03-15 23:20:10",100,532,1,"15","1","1,2,3,4,8",5,,,,,1,1,7,11.824,1,2,7,11.775,,,,,,,,,,,,,1,1,7,12.246,1,1,1,9.247,,,,,,,,,7,7,7,12.849,,,,,,,,,,,,,1,1,7,12.559,1,1,7,15.6,1,7,7,13.153,7,4,7,8.501,7,7,7,9.353,,,,,7,7,7,10.1,1,1,7,15.038,7,1,7,12.941,1,4,7,13.463,7,6,7,9.043,,,,,7,4,7,8.231,,,,,,,,,7,1,7,10.797,1,1,6,9.269,,,,,,,,,1,1,4,13.96,7,3,7,9.154,,,,,,,,,,,,,,,,,,,,,"2,3,4,8,9","3,5",1,1,1,1,72,26,"4,5",8,33.529,50,58.976,20,12.088,34,2,2,5,"1",8,6,11,2,2,34,2,10,1,1,4,1,4,2,
"R_2cdvMvb4f9P6O3d","2022-03-15 23:12:04","2022-03-15 23:20:18",100,494,1,"15","1,4","1,5",5,,,,,,,,,3,1,7,16.524,4,1,2,14.951,6,2,5,8.938,2,2,7,11.648,,,,,,,,,2,2,6,7.868,3,1,6,8.047,1,1,2,7.008,,,,,,,,,,,,,1,1,1,9.998,1,1,2,8.583,,,,,1,2,2,8.629,,,,,,,,,,,,,,,,,,,,,5,1,7,7.67,7,1,5,7.459,5,3,6,13.934,,,,,,,,,7,1,7,7.817,5,1,3,9.027,,,,,4,1,3,8.891,6,1,4,8.651,,,,,,,,,5,1,1,10.221,,,,,6,1,6,8.08,3,2,3,8.84,,,,,"4,5,10,12,15,17","3,5",2,5,4,5,36,68,"4,5",4,83.041,5,17.916,2,57.08,48,2,6,8,"1",1,5,8,2,2,48,2,15,1,1,10,,3,2,
"R_2ElUIMM3ze22PYp","2022-03-15 23:13:33","2022-03-15 23:20:31",100,417,1,"15","2,3","4,6",5,2,3,6,6.078,,,,,1,1,1,16.645,,,,,4,1,4,10.172,,,,,,,,,2,1,3,9.546,4,3,6,4.953,4,5,3,4.779,,,,,5,7,7,14.97,,,,,,,,,,,,,1,1,1,10.336,4,4,6,18.348,,,,,1,2,1,8.897,,,,,,,,,1,1,5,7.175,5,6,5,3.281,1,1,1,5.908,,,,,,,,,,,,,,,,,,,,,7,5,6,5.744,1,1,1,6.482,4,6,4,5.465,,,,,2,5,5,6.272,2,1,1,12.787,1,1,1,6.67,,,,,,,,,5,2,3,8.131,,,,,"4,7","3",1,1,3,3,0,100,"2",8,12.929,50,21.638,20,20.626,19,1,1,1,"3",3,4,7,2,2,21,1,,3,1,,,4,2,
"R_3MMxrDeikdNkRaD","2022-03-15 23:11:01","2022-03-15 23:20:36",100,574,1,"15","4","1,3,8",5,,,,,,,,,,,,,,,,,1,7,7,14.001,3,3,3,4.457,1,4,4,12.964,,,,,6,5,4,10.269,3,3,3,6.828,,,,,,,,,1,1,1,8.554,3,4,4,6.926,,,,,3,3,3,12.198,1,3,3,8.462,,,,,,,,,3,3,3,9.944,,,,,,,,,,,,,,,,,,,,,3,3,3,21.439,,,,,3,3,3,17.952,4,4,4,20.39,,,,,4,4,4,9.641,4,4,4,7.118,,,,,,,,,3,3,3,6.188,4,4,4,7.492,3,3,3,4.371,4,3,2,8.701,,,,,5,4,5,31.358,"4","3,5",3,3,3,3,38,52,"1",8,19.491,50,97.238,50,7.871,32,2,2,2,"1",1,3,1,2,2,32,2,3,1,1,4,4,2,2,
"R_XY9m4wsDpVY7kZP","2022-03-15 23:09:13","2022-03-15 23:20:40",100,687,1,"15","","1",5,,,,,1,1,1,16.063,4,3,4,15.787,,,,,,,,,4,2,4,15.698,2,2,2,29.8,2,2,2,17.601,,,,,1,2,3,18.098,4,2,3,25.544,,,,,3,2,2,13.592,4,2,4,53.801,5,2,4,13.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,16.04,4,2,4,17.67,,,,,,,,,,,,,3,2,2,21.635,4,2,4,18.028,4,2,4,10.4,5,2,5,15.701,,,,,7,2,2,21.545,,,,,4,2,2,17.14,,,,,6,2,2,18.445,5,2,5,22.242,"6","3,5",1,3,2,2,27,76,"4,5",8,11.338,50,27.156,20,16.799,61,2,2,3,"1",7,4,2,2,2,61,2,5,1,1,4,1,3,2,
"R_OASBhCHsJGtUWTD","2022-03-15 23:08:39","2022-03-15 23:21:03",100,743,1,"15","3","1,3,8",5,1,1,1,15.501,3,3,3,29.061,,,,,3,3,3,18.339,1,1,1,12.718,2,2,5,21.671,,,,,,,,,1,1,1,9.687,1,1,1,12.399,,,,,2,2,4,22.495,,,,,,,,,,,,,1,1,4,21.173,1,1,1,11.366,,,,,,,,,,,,,7,3,5,33.119,,,,,4,2,2,15.821,,,,,,,,,3,3,3,9.798,,,,,,,,,5,2,4,24.669,1,1,1,26.376,,,,,2,2,2,13.994,3,2,2,26.089,3,3,3,19.016,,,,,,,,,1,1,1,24.018,3,3,3,31.666,,,,,,,,,"2,3,4,6,8","4",4,5,1,1,19,16,"1",8,38.292,50,29.015,20,20.112,55,2,2,2,"1",8,5,6,1,1,55,1,4,1,1,4,,4,2,
"R_22YcArahqgUwLXc","2022-03-15 23:10:51","2022-03-15 23:21:08",100,617,1,"15","1,3,4,5","1,2,3,4,8",5,2,2,2,14.258,,,,,4,4,4,16.269,1,1,1,11.811,,,,,,,,,,,,,1,1,1,11.74,,,,,,,,,1,2,2,12.891,1,2,2,12.081,,,,,3,3,5,19.279,3,3,3,9.554,1,2,1,16.361,1,1,3,25.15,,,,,,,,,,,,,6,5,6,11.721,,,,,2,2,2,12.441,,,,,,,,,,,,,5,4,5,14.209,5,4,5,11.854,1,1,1,17.395,,,,,,,,,3,3,3,11.98,3,3,3,16.258,7,3,6,22.829,,,,,,,,,,,,,,,,,6,6,6,18.237,1,1,1,11.767,"7,8,9,15,48","3,5",2,4,3,3,58,43,"4,5",8,17.792,50,47.232,20,20.658,29,2,3,5,"1",6,5,5,2,2,29,2,10,1,14,6,,1,2,
"R_3KUF8oII6McVWML","2022-03-15 23:11:44","2022-03-15 23:21:14",100,570,1,"15","1,2","1",5,1,1,6,14.164,,,,,,,,,,,,,4,4,4,9.252,,,,,2,2,2,9.533,3,3,3,12.347,1,1,1,13.44,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,13.242,1,1,1,9.034,5,2,2,12.925,5,2,2,10.439,2,2,2,11.719,5,5,5,12.985,6,6,6,9.923,,,,,3,5,5,19.1,,,,,,,,,,,,,,,,,6,6,6,15.627,,,,,,,,,6,6,6,11.289,5,5,5,12.284,,,,,6,6,6,10.854,3,4,5,14.021,3,3,5,12.908,,,,,5,6,6,20.849,,,,,"4,33","3",2,6,5,5,100,0,"4,5",8,11.684,600,8.11,80,9.631,68,1,5,5,"1",8,3,3,2,2,68,1,10,1,1,8,2,3,2,
"R_2VrW2ypqgsWZ7kb","2022-03-15 23:12:58","2022-03-15 23:21:24",100,505,1,"15","1,4","4,6",5,,,,,,,,,1,1,1,8.876,,,,,,,,,1,1,1,7.957,1,1,1,6.859,1,1,1,11.63,1,1,1,8.182,1,1,1,8.517,,,,,,,,,1,1,1,8.603,1,1,1,12.036,,,,,,,,,,,,,2,1,5,12.288,,,,,4,1,1,14.386,,,,,1,1,1,9.135,3,1,1,22.009,,,,,1,1,1,15.884,,,,,3,1,4,8.518,3,1,1,9.451,,,,,1,1,1,7.899,5,2,1,12.844,4,1,1,10.462,,,,,,,,,5,4,6,11.779,,,,,3,2,5,13.742,,,,,,,,,,,,,"5,7,9,10,12,14,16","3,5",1,1,1,3,0,83,"4,5",8,7.09,1,23.74,20,11.432,21,2,4,11,"6",5,3,7,2,2,21,2,27,16,2,7,1,3,2,
"R_UxN2YaUBEpFcK8V","2022-03-15 23:13:34","2022-03-15 23:21:31",100,477,1,"15","3","1,4,8",5,1,1,1,37.819,,,,,,,,,,,,,1,1,1,6.697,3,1,1,10.915,,,,,1,1,1,7.722,2,1,1,28.98,1,1,1,9.538,,,,,,,,,,,,,2,1,1,11.616,,,,,,,,,1,1,1,6.107,1,1,1,8.184,1,1,1,19.966,,,,,,,,,,,,,,,,,1,1,1,8.492,1,1,1,11.168,,,,,4,1,1,10.723,,,,,,,,,1,1,1,5.82,5,1,1,6.806,3,1,1,9.74,,,,,,,,,5,1,1,9.87,5,4,7,22.685,,,,,,,,,5,1,1,12.465,4,1,1,9.477,"3,5,7,15,16,17,19","3,5",1,2,3,3,18,65,"4,5",8,8.535,1,17.851,20,15.563,37,2,3,4,"1",7,4,8,2,2,37,2,7,15,2,6,,4,2,
"R_1d4enuoln5GdRJx","2022-03-15 23:12:39","2022-03-15 23:21:36",100,536,1,"15","1,2,5","1,2,3,4,5,8",5,1,1,1,20.161,,,,,,,,,,,,,,,,,7,4,5,7.192,1,1,1,10.516,7,7,5,5.5,,,,,,,,,,,,,,,,,7,7,7,16.387,7,7,7,4.701,7,7,7,9.299,7,5,7,6.4,7,7,7,4.681,7,7,7,11.401,,,,,,,,,1,1,1,5.4,7,7,7,16.283,7,7,7,10.333,,,,,,,,,,,,,7,7,7,5.641,,,,,7,7,7,5.864,,,,,,,,,4,4,7,18.494,7,7,7,5.696,,,,,,,,,,,,,7,7,7,12.147,5,5,7,9.567,7,7,7,6.637,,,,,"1,2,3,14,17","1",1,1,3,3,64,73,"4,5",8,40.275,50,19.409,20,20.821,67,1,2,6,"1",8,5,9,2,2,67,1,16,2,14,4,1,2,2,
"R_29az5f4BeWxK6yf","2022-03-15 23:13:27","2022-03-15 23:21:36",100,488,1,"15","3,4","1,5",5,,,,,3,1,7,15.646,,,,,5,1,7,15.698,,,,,2,1,5,10.837,1,1,1,10.48,3,1,7,14.421,,,,,,,,,4,4,4,11,1,1,1,11.725,4,1,7,11.152,,,,,4,1,6,10.953,,,,,,,,,,,,,,,,,2,1,1,10.038,1,1,3,16.104,,,,,3,1,2,14.187,,,,,,,,,,,,,,,,,4,1,5,11.601,3,1,7,16.265,5,1,6,18.358,4,1,4,10.886,,,,,6,1,4,15.801,4,1,7,8.237,,,,,,,,,5,1,7,13.9,,,,,,,,,3,1,7,11.124,"1,48","5",2,6,4,4,100,0,"4,5",8,14.199,10,39.768,20,13.984,55,2,2,3,"1",8,1,4,2,2,55,2,5,1,1,4,2,3,2,
"R_2QnBK8Cfs0gC3ze","2022-03-15 23:11:31","2022-03-15 23:21:36",100,605,1,"15","1,3,5","1,3,4",5,,,,,1,1,1,10.916,1,1,1,14.117,3,1,7,17.234,,,,,,,,,1,1,3,12.917,,,,,5,5,7,10.685,,,,,4,2,7,14.646,,,,,4,3,7,11.898,,,,,1,1,1,13.955,1,1,1,14.814,,,,,,,,,4,3,5,22.356,,,,,,,,,5,4,7,14.837,2,2,1,13.845,4,4,6,15.182,7,7,7,16.359,5,6,5,24.82,,,,,,,,,,,,,,,,,4,1,2,39.36,5,5,7,11.834,7,4,7,11.521,,,,,,,,,5,1,3,17.663,,,,,,,,,4,1,4,26.615,,,,,"2,5,8,9,11,25","3,5",3,4,1,5,68,59,"4,5",8,10.624,50,13.755,20,19.642,36,2,4,5,"1",8,5,6,2,2,36,2,,1,1,,,3,2,
"R_9YR7NicyIITaFpv","2022-03-15 23:12:03","2022-03-15 23:21:45",100,582,1,"15","1,3,4","1,2,4",5,,,,,,,,,,,,,,,,,2,1,1,8.478,1,1,1,11.92,1,1,1,12.15,,,,,1,1,1,12.38,,,,,2,1,3,11.699,1,1,1,4.605,1,1,1,9.058,3,2,4,10.479,,,,,,,,,,,,,1,1,1,11.178,,,,,2,1,3,12.061,,,,,2,1,3,40.414,3,1,1,9.171,,,,,3,2,4,32.453,4,2,5,11.241,4,1,3,9.007,4,2,5,12.396,,,,,,,,,,,,,4,2,5,10.122,,,,,,,,,,,,,,,,,4,2,4,10.075,5,2,5,8.49,5,2,5,8.679,,,,,"2,3,5,7,9,12,18","3,5",1,1,1,1,16,69,"4,5",8,60.397,10,37.633,39,36.609,38,2,6,10,"1",7,4,6,2,2,38,2,20,1,1,10,1,1,2,
"R_3vLRJGV9qxiDp17","2022-03-15 23:11:39","2022-03-15 23:22:19",100,639,1,"15","","1,2,4",5,1,1,1,12.339,,,,,,,,,,,,,1,1,1,16.787,,,,,1,1,1,10.627,2,2,2,19.544,1,1,1,13.743,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,8.835,1,1,1,13.185,1,1,1,11.162,1,1,1,12.256,1,1,1,11.835,,,,,,,,,3,1,1,16.328,,,,,4,2,2,16.624,,,,,,,,,7,6,7,13.768,,,,,2,1,1,14.55,7,7,7,24.101,6,3,6,16.925,,,,,7,7,7,11.457,7,4,7,11.765,,,,,2,1,1,22.782,2,2,2,18.995,,,,,,,,,"3,5,6,8,9,12,14,20","3",1,1,1,1,10,100,"4,5",8,22.543,50,37.887,20,23.574,57,2,5,10,"1",4,7,11,2,2,57,2,,1,1,,,3,2,
"R_soP2YQGr9e7NjKp","2022-03-15 23:10:48","2022-03-15 23:22:21",100,693,1,"15","1,3","2,4,5",5,,,,,1,5,1,13.976,1,1,1,9.415,,,,,3,1,1,14.7,1,1,1,9.047,,,,,,,,,1,1,1,8.071,2,1,5,13.948,,,,,,,,,3,5,1,22.989,,,,,,,,,,,,,,,,,1,7,3,20.301,1,1,1,8.936,2,1,1,9.376,,,,,2,1,1,17.238,,,,,3,3,5,24.1,5,3,5,22.701,4,4,4,13.694,,,,,,,,,,,,,1,1,1,14.537,5,2,5,17.718,,,,,,,,,,,,,5,4,5,22.046,2,1,1,21.774,4,2,5,19.461,4,4,3,12.65,,,,,,,,,"3,4,12","3,5",1,2,1,2,24,82,"4,5",8,17.598,50,38.152,39,74.92,28,2,2,6,"1",4,4,7,2,2,28,2,,1,2,4,,3,2,
"R_3lFZo6xkKoJddE0","2022-03-15 23:12:11","2022-03-15 23:22:29",100,617,1,"15","1,3","1,2,4",5,,,,,1,1,1,7.926,,,,,1,1,1,8.016,,,,,,,,,1,1,1,10.563,1,1,1,9.131,3,3,3,10.41,,,,,,,,,3,3,7,9.653,4,4,7,8.672,1,1,1,22.047,1,1,1,8.183,,,,,1,1,1,12.797,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,14.062,,,,,2,2,6,14.965,,,,,,,,,6,6,7,14.802,1,1,1,13.844,4,4,4,13.107,,,,,6,6,6,19.152,1,1,1,19.447,4,4,4,9.021,,,,,1,1,1,9.889,,,,,,,,,7,7,7,7.78,"33","3,5",2,6,5,5,84,24,"4",8,12.954,50,42.565,30,16.635,84,2,2,4,"1",8,5,1,2,2,74,2,8,1,1,4,2,4,2,
"R_3fP5mZDSKGimqhP","2022-03-15 23:11:58","2022-03-15 23:22:32",100,634,1,"15","1,3","1,3",5,,,,,4,4,4,20.796,4,4,4,12.791,,,,,,,,,4,4,5,8.296,,,,,1,1,1,16.504,7,7,7,19.511,4,4,4,9.076,5,7,7,42.963,,,,,,,,,,,,,,,,,,,,,2,3,3,27.274,4,1,7,22.449,,,,,1,7,7,22.496,,,,,,,,,3,4,4,10.315,,,,,3,1,1,10.856,4,4,4,9.977,4,4,4,15.08,,,,,,,,,,,,,,,,,4,4,4,11.081,3,3,4,16.492,7,7,7,11.709,1,7,7,13.138,,,,,5,1,1,27.956,4,4,4,5.029,,,,,,,,,"4","3,5",1,1,1,1,49,100,"4,5",8,21.431,50,18.312,20,17.335,28,2,2,1,"2",8,7,7,2,2,27,2,1,2,1,,1,2,2,
"R_3Rrr8s84mFYCGCF","2022-03-15 23:09:25","2022-03-15 23:22:50",100,805,1,"15","3","1,3,5",5,6,5,5,5.839,,,,,5,7,4,17.501,,,,,,,,,5,4,4,35.618,,,,,,,,,4,5,3,28.574,,,,,,,,,4,6,3,3.214,,,,,5,3,6,21.753,,,,,,,,,5,3,5,59.543,5,4,3,16.078,4,5,5,14.943,4,3,5,10.545,,,,,,,,,5,5,3,15.012,5,4,5,49.162,,,,,,,,,3,5,4,6.5,5,3,6,11.266,5,5,5,3.587,1,1,1,13.569,,,,,,,,,,,,,6,4,6,18.16,5,4,5,3.251,6,4,5,156.051,,,,,5,3,4,5.318,,,,,,,,,"11,18,51","1",3,3,3,3,83,69,"3",20,55.099,100,59.768,30,29.301,39,2,2,4,"1",8,3,9,1,2,39,2,11,1,1,4,3,3,2,
